country,gpc
SOUTH ASIA,1898.971004
SAUDI ARABIA,23338.96346
SUDAN,623.8672524
SENEGAL,1465.591006
SINGAPORE,66188.7794
SOLOMON ISLANDS,2441.517393
SIERRA LEONE,533.9911843
EL SALVADOR,4067.659449
SAN MARINO,48995.142
SOMALIA,
SERBIA,7252.401858
SUB-SAHARAN AFRICA (EXCLUDING HIGH INCOME),1583.513056
SOUTH SUDAN,
SUB-SAHARAN AFRICA,1596.147083
SMALL STATES,13013.75137
SAO TOME AND PRINCIPE,1953.58829
SURINAME,6015.164607
SLOVAK REPUBLIC,19406.34753
SLOVENIA,26115.91337
SWEDEN,54589.06039
ESWATINI,4106.197153
SINT MAARTEN (DUTCH PART),29160.10381
SEYCHELLES,16390.82491
SYRIAN ARAB REPUBLIC,
TURKS AND CAICOS ISLANDS,29554.70596
CHAD,726.1498811
EAST ASIA & PACIFIC (IDA & IBRD COUNTRIES),8055.429563
EUROPE & CENTRAL ASIA (IDA & IBRD COUNTRIES),8894.629648
TOGO,679.9727606
THAILAND,7295.475616
TAJIKISTAN,826.6215305
TURKMENISTAN,6966.635411
LATIN AMERICA & THE CARIBBEAN (IDA & IBRD COUNTRIES),8934.498183
TIMOR-LESTE,1230.228191
MIDDLE EAST & NORTH AFRICA (IDA & IBRD COUNTRIES),3975.048437
TONGA,4740.792149
SOUTH ASIA (IDA & IBRD),1898.971004
SUB-SAHARAN AFRICA (IDA & IBRD COUNTRIES),1596.147083
TRINIDAD AND TOBAGO,17129.91309
TUNISIA,3438.789089
TURKEY,9455.593654
TUVALU,3700.744263
TANZANIA,1060.994615
UGANDA,770.4524533
UKRAINE,3096.817402
UPPER MIDDLE INCOME,8906.203544
URUGUAY,17277.97011
USA,62996.47129
UZBEKISTAN,1529.082864
ST. VINCENT AND THE GRENADINES,7361.400962
"VENEZUELA, RB",
BRITISH VIRGIN ISLANDS,
VIRGIN ISLANDS (U.S.),
VIETNAM,2566.59695
VANUATU,3125.257989
WORLD,11385.55287
SAMOA,4188.528346
KOSOVO,4419.914327
"YEMEN, REP.",824.1176287
SOUTH AFRICA,6374.028196
ZAMBIA,1516.390661
ZIMBABWE,1683.740577
